threshold,n_selected,coverage_pct,win_rate_pct,lift_vs_baseline,n_executed_selected,wr_executed_pct
0.35,19899,74.9,45.91,1.038,471,42.46
0.36,19550,73.6,46.16,1.044,469,42.43
0.37,19178,72.2,46.43,1.05,469,42.43
0.38,18744,70.5,46.69,1.055,466,42.49
0.39,18235,68.6,46.94,1.061,456,43.2
0.4,17679,66.5,47.2,1.067,445,44.04
0.41,17068,64.2,47.56,1.075,439,43.96
0.42,16335,61.5,47.9,1.083,427,44.26
0.43,15502,58.3,48.43,1.095,411,45.01
0.44,14695,55.3,48.91,1.106,397,45.34
0.45,13866,52.2,49.21,1.113,376,44.95
0.46,12962,48.8,49.67,1.123,357,45.38
0.47,12110,45.6,50.2,1.135,343,46.06
0.48,11231,42.3,50.9,1.151,321,47.35
0.49,10359,39.0,51.62,1.167,304,49.01
0.5,9464,35.6,52.43,1.185,279,49.82
0.51,8547,32.2,53.06,1.2,263,50.57
0.52,7704,29.0,53.5,1.21,246,50.0
0.53,6880,25.9,53.79,1.216,218,50.46
0.54,6198,23.3,54.52,1.233,199,52.26
0.55,5453,20.5,54.72,1.237,176,50.57
0.56,4756,17.9,55.09,1.245,153,50.98
0.57,4145,15.6,55.73,1.26,129,51.94
0.58,3594,13.5,56.37,1.274,115,53.04
0.59,3036,11.4,56.55,1.279,91,52.75
0.6,2523,9.5,57.19,1.293,75,54.67
0.61,2105,7.9,57.39,1.297,54,50.0
0.62,1687,6.3,58.15,1.315,43,53.49
0.63,1361,5.1,57.97,1.311,32,59.38
0.64,1051,4.0,58.04,1.312,27,59.26
0.65,797,3.0,58.72,1.328,21,57.14
0.66,615,2.3,58.21,1.316,11,45.45
0.67,461,1.7,58.13,1.314,7,42.86
0.68,360,1.4,56.94,1.287,5,20.0
0.69,263,1.0,58.17,1.315,4,25.0
0.7,192,0.7,59.9,1.354,3,33.33
0.71,152,0.6,59.87,1.353,3,33.33
0.72,115,0.4,64.35,1.455,2,50.0
0.73,91,0.3,69.23,1.565,2,50.0
0.74,64,0.2,71.88,1.625,2,50.0
0.75,49,0.2,75.51,1.707,0,
